iter,clap,score,lead_cutoff_hz,lead_gain,pad_cutoff_slider,pad_gain,hihat_gain,bass_cutoff_g1,reverb_room,reverb_wet,sidechain_depth,gain_kick,gain_bass,gain_pluck,kick_decay_s,kick_pitch_floor,hihat_decay_s
112,0.60727,0.56284,3903.53043,0.08173,0.74623,4.77682,1.42654,0.70636,0.26248,0.41989,0.34575,0.7047,0.24151,0.02742,0.36178,58.25353,0.00554
113,0.59619,0.59619,4891.27692,0.19966,0.87987,3.80304,2.93836,0.74379,0.69361,0.28295,0.54924,0.61453,0.39808,0.05427,0.35771,51.76775,0.00577
114,0.43414,0.43414,8790.94722,0.07039,0.87329,2.99612,2.69262,0.73427,0.80949,0.28518,0.37376,0.77463,0.3463,0.10069,0.46567,58.94053,0.03904
115,0.53898,0.53898,4189.61545,0.23853,0.89881,4.31272,2.75256,0.73797,0.54428,0.3935,0.37868,0.73349,0.21553,0.00623,0.43722,56.98509,0.03247
116,0.58161,0.58161,4209.95174,0.13639,0.82854,4.307,1.87049,0.66682,0.38989,0.28534,0.31465,0.74946,0.3231,0.03316,0.23655,59.16174,0.00968
117,0.56288,0.56288,6363.22014,0.25663,0.89946,4.64021,1.80798,0.64022,0.66871,0.21634,0.3004,0.76798,0.24747,0.07839,0.21091,76.60906,0.06682
118,0.53593,0.53593,3070.00132,0.11334,0.76991,3.73288,2.10645,0.74129,0.54972,0.35464,0.41782,0.79974,0.43405,0.07201,0.3064,52.57614,0.02497
119,0.58871,0.58871,4108.62614,0.19973,0.84077,4.38591,2.03512,0.74324,0.69254,0.42806,0.34209,0.79842,0.30532,0.01596,0.46312,72.39405,0.00918
120,0.56522,0.56522,5323.89831,0.05183,0.8731,4.41663,1.54549,0.68537,0.69194,0.3426,0.39404,0.7879,0.27893,0.05509,0.36832,55.80099,0.02021
121,0.55265,0.55265,8316.76396,0.17809,0.72387,4.9966,1.79214,0.7411,0.79873,0.3817,0.30372,0.72226,0.32182,0.1285,0.24096,60.99396,0.01265
122,0.52147,0.52147,300.00007,0.17581,0.89987,3.20943,2.39523,0.63053,0.78016,0.27666,0.41909,0.67723,0.3777,0.00762,0.43319,55.6101,0.01079
123,0.62083,0.62083,6557.37918,0.13885,0.86297,4.25714,2.75394,0.75,0.61785,0.44191,0.31383,0.75665,0.32521,0.00748,0.24274,53.65387,0.00751
124,0.583,0.583,695.808,0.27138,0.84275,3.90388,2.45031,0.57411,0.45378,0.28974,0.55301,0.67116,0.40927,0.04479,0.3849,67.17627,0.00667
125,0.55092,0.55092,5908.02441,0.32308,0.74261,4.41451,2.99426,0.74805,0.63342,0.26209,0.40729,0.79903,0.45558,0.08157,0.36886,62.74556,0.06188
126,0.57077,0.57077,4218.03336,0.08114,0.78402,3.44817,2.97901,0.69206,0.63677,0.35768,0.38745,0.79835,0.41676,0.0264,0.40369,62.57705,0.00999
127,0.58076,0.58076,8222.27034,0.10036,0.8408,3.63131,2.95737,0.68826,0.55688,0.26406,0.30848,0.79548,0.47186,0.09206,0.32856,64.26042,0.00538
128,0.51908,0.51908,6248.97148,0.22702,0.88797,3.091,2.33056,0.70573,0.39368,0.30219,0.47788,0.75508,0.26308,0.00654,0.38748,40.65498,0.01406
129,0.45902,0.45902,5690.67823,0.17095,0.89989,3.65325,2.6743,0.6726,0.76308,0.29571,0.30021,0.7981,0.46688,0.13623,0.39657,65.15621,0.01247
130,0.52436,0.52436,3692.39307,0.33578,0.89872,3.1298,2.63082,0.74489,0.73725,0.30918,0.62463,0.76533,0.41613,0.00583,0.30828,66.19008,0.00869
131,0.53876,0.53876,7020.76116,0.18601,0.89578,3.05136,2.88133,0.6565,0.8197,0.39967,0.45679,0.73661,0.45084,0.035,0.27941,64.31895,0.02381
132,0.55972,0.55972,5356.21684,0.31068,0.68338,4.87285,2.79046,0.7359,0.4904,0.38811,0.53322,0.78117,0.40101,0.00782,0.36155,45.79011,0.0362
133,0.53708,0.53708,6251.15518,0.12318,0.89898,3.66505,2.22121,0.74909,0.57014,0.30363,0.41413,0.78576,0.25411,0.01142,0.27574,67.13022,0.02322
134,0.46965,0.46939,3166.34907,0.42333,0.89635,4.0113,2.13762,0.73124,0.44518,0.30111,0.55693,0.66969,0.22802,0.17833,0.25631,59.05429,0.00836
135,0.56985,0.56985,8226.69683,0.09782,0.89521,4.26529,1.29511,0.53821,0.58643,0.33574,0.30498,0.7559,0.16192,0.02514,0.20041,69.65653,0.02346
136,0.4078,0.4078,2159.61252,0.1573,0.78473,2.57308,2.58743,0.53067,0.6186,0.3784,0.3001,0.75139,0.3492,0.11836,0.35217,72.30407,0.00854
137,0.58609,0.58609,7131.32067,0.29665,0.89867,4.64458,2.79353,0.63851,0.5193,0.24377,0.5229,0.79998,0.2443,0.01829,0.33863,57.14344,0.00832
138,0.5268,0.5268,7062.6415,0.19058,0.76286,3.1965,2.64286,0.6608,0.47417,0.24873,0.63024,0.77774,0.31893,0.03513,0.23416,67.69438,0.00984
139,0.52411,0.52411,7980.07867,0.11225,0.80635,4.00174,2.67001,0.61996,0.46761,0.30521,0.30281,0.79961,0.26884,0.11181,0.30491,51.51855,0.01757
140,0.57437,0.57186,8715.85998,0.08159,0.85383,4.8132,1.4029,0.42364,0.51715,0.24062,0.30001,0.7977,0.3765,0.0051,0.29662,57.68111,0.01232
141,0.5742,0.57164,7281.68364,0.14735,0.859,3.66569,1.06744,0.46304,0.66988,0.31175,0.43517,0.69608,0.18003,0.04093,0.29433,71.23817,0.01041
142,0.58565,0.58565,11338.57417,0.08295,0.84817,4.96867,2.42579,0.68719,0.54492,0.27057,0.30207,0.79944,0.24549,0.05489,0.27159,56.5827,0.00794
143,0.49714,0.49714,6485.91748,0.13365,0.85553,3.03839,2.02907,0.57912,0.46001,0.4079,0.37771,0.71556,0.34673,0.06052,0.22565,53.30209,0.017
144,0.53121,0.53121,9844.01065,0.05664,0.75883,4.99975,2.73764,0.6033,0.46852,0.28623,0.37548,0.71952,0.20498,0.01694,0.1569,65.06904,0.01499
145,0.53223,0.53223,7804.98388,0.10043,0.89995,4.56774,2.07236,0.42804,0.60732,0.20656,0.30994,0.77201,0.2859,0.05462,0.38674,47.64744,0.01782
146,0.59347,0.59347,8985.80407,0.05032,0.89375,4.33761,2.99836,0.73367,0.54007,0.29514,0.46452,0.76699,0.28402,0.01357,0.45217,66.77676,0.00517
147,0.55823,0.55823,8136.62679,0.27272,0.80327,4.78397,2.82416,0.33104,0.35773,0.23243,0.30326,0.71567,0.15592,0.05299,0.35774,59.60548,0.03097
148,0.51271,0.51271,8059.01964,0.22289,0.75468,4.22993,2.65,0.53477,0.33866,0.30257,0.35529,0.75381,0.16885,0.15589,0.26495,54.86571,0.00961
149,0.55798,0.55798,11800.59908,0.0662,0.76918,4.99986,2.55057,0.64789,0.32909,0.21089,0.38278,0.74814,0.17975,0.05943,0.26566,58.68828,0.02818
150,0.53667,0.53667,7902.82482,0.05172,0.86271,3.99689,1.72557,0.62077,0.50773,0.22912,0.47288,0.55415,0.25148,0.07056,0.39583,62.17697,0.023
151,0.5131,0.5131,6612.35056,0.15833,0.86129,3.88003,2.80529,0.6053,0.36167,0.26915,0.39329,0.6319,0.42965,0.01213,0.37237,48.25059,0.03401
152,0.56654,0.56654,7883.13937,0.06659,0.87843,4.76583,2.30987,0.67761,0.64083,0.17821,0.38512,0.79721,0.4058,0.0486,0.24325,50.61727,0.01016
153,0.54299,0.54299,8274.5392,0.09915,0.828,4.51632,2.94644,0.67069,0.42314,0.17644,0.64785,0.78238,0.31878,0.01065,0.36441,61.73061,0.06082
